datetime,timestamp,open,high,low,close,funding_rate,clt,leverage,entry,pos_size,change,change_pnl,funding,funding_pnl,margin,mm,mm_sl,is_liq,is_sl,fee,final_pnl
2026-01-08,1702368000,41930.0,42125.0,41791.0,42049.5,0.0001,0.999,1,42733.9,42007.4505,-0.01601538825148188,-0.01601538825148188,5.035038470628705e-05,0.0016800434832619298,0.9856503055373174,0.04995,0.0624375,False,False,0.0,0.0006800434832619289
2026-01-08,1702396800,41376.7,41488.0,41115.5,41372.1,0.0001,0.999,1,42733.9,41330.7279,-0.03186697212283463,-0.03186697212283463,5.074667430307087e-05,0.0017307901575650006,0.9698336516864169,0.04995,0.0624375,False,False,0.0,0.0007307901575649997
2026-01-08,1702425600,41514.9,41524.2,41326.1,41432.6,0.00011909,0.999,1,42733.9,41391.1674,-0.03045123426600434,-0.03045123426600434,6.039206437218461e-05,0.0017911822219371853,0.9713112592151479,0.04995,0.0624375,False,False,0.0,0.0007911822219371844
2026-01-08,1702454400,41146.3,41315.4,41140.8,41291.8,0.00010162,0.999,1,42733.9,41250.508200000004,-0.03374604236917292,-0.03374604236917292,5.1616508206388846e-05,0.0018427987301435742,0.9680648211821529,0.04995,0.0624375,False,False,0.0,0.0008427987301435733
2026-01-08,1702483200,41960.0,42250.0,41735.6,41894.0,0.00012601,0.999,1,42733.9,41852.106,-0.01965418555292172,-0.01965418555292172,6.356115098038092e-05,0.001906359881123955,0.9822344087369391,0.04995,0.0624375,False,False,0.0,0.0009063598811239542
2026-01-08,1702512000,42875.0,42950.0,42673.9,42792.9,0.0001,0.999,1,42733.9,42750.1071,0.0013806369182311935,-0.0013806369182311935,4.991548407704422e-05,0.001956275365200999,1.0005762146616315,0.04995,0.0624375,False,False,0.0,0.0009562753652009983
2026-01-08,1702540800,42910.2,43022.0,42765.5,42766.9,0.0001,0.999,1,42733.9,42724.1331,0.0007722206491801591,-0.0007722206491801591,4.99306944837705e-05,0.0020062060596847697,1.001235220631136,0.04995,0.0624375,False,False,0.0,0.0010062060596847688
2026-01-08,1703376000,43725.2,43751.2,43625.1,43749.3,0.0001,0.999,1,42733.9,43705.5507,0.0237609953690162,-0.0237609953690162,4.93559751157746e-05,0.0020555620348005443,0.9782728395052895,0.04995,0.0624375,False,False,0.0,0.0010555620348005434
2026-01-08,1702569600,42454.1,42698.0,42454.1,42598.0,0.0001,0.999,1,42733.9,42555.402,-0.0031801450370783253,-0.0031801450370783253,5.0029503625926964e-05,0.0021055915384264713,0.9989243708722204,0.04995,0.0624375,False,False,0.0,0.0011055915384264705
2026-01-08,1702627200,42724.8,42890.0,42645.9,42882.8,0.0001,0.999,1,42733.9,42839.9172,0.0034843531716038426,-0.0034843531716038426,4.986289117070991e-05,0.0021554544295971814,0.9986697710290223,0.04995,0.0624375,False,False,0.0,0.0011554544295971805
2026-01-08,1702656000,41930.4,42122.7,41715.0,41818.5,0.0001,0.999,1,42733.9,41776.6815,-0.021420932795742992,-0.021420932795742992,5.048552331989358e-05,0.002205939952917075,0.9807657729301043,0.04995,0.0624375,False,False,0.0,0.0012059399529170743
2026-01-08,1702684800,41968.0,42085.0,41638.1,41934.2,0.0001,0.999,1,42733.9,41892.265799999994,-0.018713480398465956,-0.018713480398465956,5.0417837009961655e-05,0.002256357789927037,0.9835264037952564,0.04995,0.0624375,False,False,0.0,0.0012563577899270362
2026-01-08,1702713600,42243.0,42288.7,42114.7,42198.6,0.0001,0.999,1,42733.9,42156.401399999995,-0.012526354954731558,-0.012526354954731558,5.026315887386829e-05,0.002306620948800905,0.9897700360300994,0.04995,0.0624375,False,False,0.0,0.0013066209488009043
2026-01-08,1702742400,42631.6,42756.7,42504.6,42616.5,0.0001,0.999,1,42733.9,42573.8835,-0.0027472334610227815,-0.0027472334610227815,5.0018680836525566e-05,0.0023566396296374305,0.9996090151837984,0.04995,0.0624375,False,False,0.0,0.0013566396296374296
2026-01-08,1702771200,42287.4,42322.2,42159.0,42161.2,0.0001,0.999,1,42733.9,42119.038799999995,-0.013401538357135772,-0.013401538357135772,5.02850384589284e-05,0.002406924668096359,0.9889943806916522,0.04995,0.0624375,False,False,0.0,0.0014069246680963581
2026-01-08,1702800000,41894.6,41929.4,41671.2,41918.7,0.0001,0.999,1,42733.9,41876.781299999995,-0.019076190097323305,-0.019076190097323305,5.0426904752433076e-05,0.0024573515728487923,0.983364526001527,0.04995,0.0624375,False,False,0.0,0.0014573515728487914
