datetime,timestamp,open,high,low,close,funding_rate
2016-05-14 12:00:00,1463227200.0,455.47,455.47,455.47,455.47,0.0006900000000000001
2016-05-15 12:00:00,1463313600.0,455.85,455.85,455.85,455.85,0.000516
2016-05-16 12:00:00,1463400000.0,457.2,457.2,457.2,457.2,0.000451
2016-05-17 12:00:00,1463486400.0,452.195,452.195,452.195,452.195,0.000454
2016-05-18 12:00:00,1463572800.0,453.735,453.735,453.735,453.735,0.00044300000000000003
2016-05-19 12:00:00,1463659200.0,448.53499999999997,448.53499999999997,448.53499999999997,448.53499999999997,0.000427
2016-05-20 12:00:00,1463745600.0,441.67,441.67,441.67,441.67,0.000424
2016-05-21 12:00:00,1463832000.0,439.63,439.63,439.63,439.63,0.00042
2016-05-22 12:00:00,1463918400.0,440.485,440.485,440.485,440.485,0.0004
2016-05-23 12:00:00,1464004800.0,441.14,441.14,441.14,441.14,0.000354
2016-05-24 12:00:00,1464091200.0,444.03,444.03,444.03,444.03,0.000373
2016-05-25 12:00:00,1464177600.0,447.82000000000005,447.82000000000005,447.82000000000005,447.82000000000005,0.00031800000000000003
2016-05-26 12:00:00,1464264000.0,451.12,451.12,451.12,451.12,0.00032500000000000004
2016-05-27 12:00:00,1464350400.0,477.7,477.7,477.7,477.7,0.000342
2016-05-28 12:00:00,1464436800.0,501.245,501.245,501.245,501.245,0.00035
2016-05-29 12:00:00,1464523200.0,527.9200000000001,527.9200000000001,527.9200000000001,527.9200000000001,0.002588
2016-05-30 12:00:00,1464609600.0,547.0799999999999,547.0799999999999,547.0799999999999,547.0799999999999,0.007045999999999999
2016-05-31 12:00:00,1464696000.0,549.905,549.905,549.905,549.905,0.0029600000000000004
2016-06-01 12:00:00,1464782400.0,537.47,537.47,537.47,537.47,0.001285
2016-06-02 12:00:00,1464868800.0,539.56,539.56,539.56,539.56,0.0009739999999999999
2016-06-03 12:00:00,1464955200.0,560.135,560.135,560.135,560.135,0.0009339999999999999
2016-06-04 12:00:00,1465041600.0,576.39,576.39,576.39,576.39,0.000788
2016-06-04 20:00:00,1465070400.0,574.5,574.5,574.5,574.5,0.0002496666666666667
2016-06-05 04:00:00,1465099200.0,585.78,585.78,585.78,585.78,0.00024233333333333333
2016-06-05 12:00:00,1465128000.0,581.73,581.73,581.73,581.73,0.00023733333333333332
2016-06-05 20:00:00,1465156800.0,580.105,580.105,580.105,580.105,0.00023433333333333336
2016-06-06 04:00:00,1465185600.0,585.885,585.885,585.885,585.885,0.00022899999999999998
2016-06-06 12:00:00,1465214400.0,588.885,588.885,588.885,588.885,0.0002403333333333333
2016-06-06 20:00:00,1465243200.0,590.4200000000001,590.4200000000001,590.4200000000001,590.4200000000001,0.0002466666666666666
2016-06-07 04:00:00,1465272000.0,590.115,590.115,590.115,590.115,0.00020366666666666667
2016-06-07 12:00:00,1465300800.0,591.2,591.2,591.2,591.2,0.00021133333333333334
2016-06-07 20:00:00,1465329600.0,576.995,576.995,576.995,576.995,0.00020366666666666667
2016-06-08 04:00:00,1465358400.0,578.12,578.12,578.12,578.12,0.00018766666666666666
2016-06-08 12:00:00,1465387200.0,582.125,582.125,582.125,582.125,0.00017066666666666665
2016-06-08 20:00:00,1465416000.0,585.295,585.295,585.295,585.295,0.00017166666666666665
2016-06-09 04:00:00,1465444800.0,583.595,583.595,583.595,583.595,0.00016166666666666665
2016-06-09 12:00:00,1465473600.0,582.67,582.67,582.67,582.67,0.00018366666666666664
2016-06-09 20:00:00,1465502400.0,580.4000000000001,580.4000000000001,580.4000000000001,580.4000000000001,0.00017
2016-06-10 04:00:00,1465531200.0,576.585,576.585,576.585,576.585,0.000145
2016-06-10 12:00:00,1465560000.0,576.075,576.075,576.075,576.075,0.00014199999999999998
2016-06-10 20:00:00,1465588800.0,581.4549999999999,581.4549999999999,581.4549999999999,581.4549999999999,0.00016900000000000002
2016-06-11 04:00:00,1465617600.0,586.925,586.925,586.925,586.925,0.0004423333333333333
2016-06-11 12:00:00,1465646400.0,587.9849999999999,587.9849999999999,587.9849999999999,587.9849999999999,0.00016366666666666667
2016-06-11 20:00:00,1465675200.0,589.1,589.1,589.1,589.1,0.00017833333333333332
2016-06-12 04:00:00,1465704000.0,635.825,635.825,635.825,635.825,0.000168
2016-06-12 12:00:00,1465732800.0,647.925,647.925,647.925,647.925,0.000547
2016-06-12 20:00:00,1465761600.0,659.3499999999999,659.3499999999999,659.3499999999999,659.3499999999999,0.004297
2016-06-13 04:00:00,1465790400.0,684.995,684.995,684.995,684.995,0.008046999999999999
2016-06-13 12:00:00,1465819200.0,696.8299999999999,696.8299999999999,696.8299999999999,696.8299999999999,0.01125
2016-06-13 20:00:00,1465848000.0,692.81,692.81,692.81,692.81,0.007787
2016-06-14 04:00:00,1465876800.0,691.5799999999999,691.5799999999999,691.5799999999999,691.5799999999999,0.01125
2016-06-14 12:00:00,1465905600.0,684.4100000000001,684.4100000000001,684.4100000000001,684.4100000000001,0.008049
2016-06-14 20:00:00,1465934400.0,682.2,682.2,682.2,682.2,0.004299
2016-06-15 04:00:00,1465963200.0,684.65,684.65,684.65,684.65,0.000549
2016-06-15 12:00:00,1465992000.0,681.51,681.51,681.51,681.51,0.001374
2016-06-15 20:00:00,1466020800.0,692.425,692.425,692.425,692.425,0.001041
2016-06-16 04:00:00,1466049600.0,736.925,736.925,736.925,736.925,0.000704
2016-06-16 12:00:00,1466078400.0,733.915,733.915,733.915,733.915,0.004454
2016-06-16 20:00:00,1466107200.0,774.6949999999999,774.6949999999999,774.6949999999999,774.6949999999999,0.008204
2016-06-17 04:00:00,1466136000.0,772.685,772.685,772.685,772.685,0.009534
2016-06-17 12:00:00,1466164800.0,734.99,734.99,734.99,734.99,0.01125
2016-06-17 20:00:00,1466193600.0,756.5,756.5,756.5,756.5,0.0075
