ts,txSig,recordId,slot,marketIndex,fundingRate,fundingRateLong,fundingRateShort,cumulativeFundingRateLong,cumulativeFundingRateShort,oraclePriceTwap,markPriceTwap,periodRevenue,baseAssetAmountWithAmm,baseAssetAmountWithUnsettledLp,programId,fundingRate_pct
1690927212,5bdcrwxtG19FwpgMXCM7JsqEXdcCLtQf1NhxiTTXyNKugYBYyyr2UW7obCUMKA62JQkQDc7oi8aQQmGyHub9XS1J,5577,208883070,1,1.418749166,1.418749166,1.418749166,2021.660090099,2021.199662616,29207.915493,29241.965473,19.276428,1.013254631,0.015245369,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,141.8749166
1690894803,43G3LtMMr9eCnAcZrLyZuwiSHPvpdxJtj4Ryz1MggZVKTTXtVmqN1hyxnqWLwvumYTRtCQj2J9YwnkG35pgTEZpK,5568,208809567,1,0.928015166,0.928015166,0.928015166,2006.930776019,2006.470348536,28873.247743,28895.520107,-19.952934,1.529075441,0.000224559,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,92.8015166
1690851607,4mLspv2ggqQAeGJrQh7hhamUT98D8WMqJZkrrV1UDAGhkPagKGSCCxAkECyyYd9YByrMG1RFDk5yEhS42UZoVCJg,5556,208711109,1,2.836575416,2.836575416,2.836575416,1994.91363369,1994.453206207,29239.215012,29307.292822,-72.336398,1.594039785,0.000160215,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,283.6575416
1690909205,4bDNSoHuXJKAAXHEbLj2Qbx7GdyXSEvwnzUfyBSGLUnPUNA9iLVcvxNvUQGK4fguA7pqPv6BGcdseopuutihjYKj,5572,208842119,1,0.517646625,0.517646625,0.517646625,2009.355306935,2008.894879452,28887.733566,28900.157085,18.900313,0.958226943,-0.000226943,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,51.7646625
1690891204,3VZ6y2tCHdTZmU9YJB81tusXoZAhdQrxnVQ4x8vq7EG249kemqTo442N8h3PonXgrm9yBVhgsgTT83tLGZZA2Wy5,5567,208801375,1,0.635374541,0.635374541,0.635374541,2006.002760853,2005.54233337,28895.128981,28910.37797,101.713734,1.529075441,0.000224559,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,63.537454100000005
1690869602,4ehjxJjA56dSw7EBgVjsUBC8sutWWmfnaodMZTiHTHfR4x6Tst4maCohUrXFqW9bQXBGXQYDFNENasNhESHosaTN,5561,208751923,1,1.828069083,1.828069083,1.828069083,1998.22658148,1997.766153997,28894.901367,28938.775025,-87.271855,1.558675441,0.000224559,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,182.8069083
1690916406,3w5BPTccL23UcNAhUQRJBev5auwYC8B4ofu7kTGEyvvwYC68fAMXpevjffJ53xVwgcVLJwoeDcBjssm9VYZmetMG,5574,208858403,1,2.302304916,2.302304916,2.302304916,2012.457628017,2011.997200534,29037.586393,29092.841711,-306.729955,0.951031331,-0.001131331,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,230.23049160000002
1690876807,3bToLpkDbcA65gCjRNwVSCvX7S38HsqMS4vC1S6D8bq5sf9zuF7iXnAkQ6wAgU5Du7irRs76fb7kAyWyW5AMKdSS,5563,208768368,1,2.638228875,2.638228875,2.638228875,2001.771489813,2001.31106233,28918.221149,28981.538642,-27.383824,1.555875441,0.000224559,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,263.8228875
1690898406,2mMLuNezsXgsQU9QUBNFYQf9YC8ZmAzk2Gxu2kpgZVYySkxkzQ5EiMT294ta91bDBnEf1VyFpozmzDBrwuPQYjJz,5569,208817797,1,0.948370375,0.948370375,0.948370375,2007.879146394,2007.418718911,28873.136023,28895.896912,25.058048,1.498275441,0.000224559,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,94.8370375
1690930805,QfyBRQzZTHnBBRemZXcAkfX6zn3w7e5jzEKr86LzCoP9w215jRzhmULyBPVBRd75YXGv6Uwy4QFkXK4PYFgEGzD,5578,208891208,1,2.605105375,2.605105375,2.605105375,2024.265195474,2023.804767991,29208.596969,29271.119498,-20.695921,1.013254631,0.000145369,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,260.5105375
