timestamp,symbol,fundingInterval,fundingRate,fundingRateDaily,timestamp_dt,fundingRate_pct
2025-12-16T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-1.1e-05,-3.3e-05,2025-12-16 20:00:00+00:00,-0.0011
2025-12-16T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,8e-05,0.00024000000000000003,2025-12-16 12:00:00+00:00,0.008
2025-12-16T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,2025-12-16 04:00:00+00:00,0.01
2025-12-15T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-4.4e-05,-0.000132,2025-12-15 20:00:00+00:00,-0.0044
2025-12-15T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,2.5e-05,7.500000000000001e-05,2025-12-15 12:00:00+00:00,0.0025
2025-12-15T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-1.5e-05,-4.5e-05,2025-12-15 04:00:00+00:00,-0.0015
2025-12-14T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-7.3e-05,-0.000219,2025-12-14 20:00:00+00:00,-0.0073
2025-12-14T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,4.8e-05,0.000144,2025-12-14 12:00:00+00:00,0.0048000000000000004
2025-12-14T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,9.8e-05,0.000294,2025-12-14 04:00:00+00:00,0.0098
2025-12-13T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-0.000151,-0.00045300000000000006,2025-12-13 20:00:00+00:00,-0.0151
2025-12-13T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,1.4e-05,4.2e-05,2025-12-13 12:00:00+00:00,0.0014
2025-12-13T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,9e-06,2.7e-05,2025-12-13 04:00:00+00:00,0.0009
2025-12-12T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,1.3e-05,3.9e-05,2025-12-12 20:00:00+00:00,0.0013
2025-12-12T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,3.9e-05,0.000117,2025-12-12 12:00:00+00:00,0.0039
2025-12-12T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,2025-12-12 04:00:00+00:00,0.01
2025-12-11T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-7.6e-05,-0.000228,2025-12-11 20:00:00+00:00,-0.007600000000000001
2025-12-11T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-6.3e-05,-0.00018899999999999999,2025-12-11 12:00:00+00:00,-0.0063
2025-12-11T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,7e-06,2.1e-05,2025-12-11 04:00:00+00:00,0.0007
2025-12-10T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,6.6e-05,0.00019800000000000002,2025-12-10 20:00:00+00:00,0.006600000000000001
2025-12-10T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-3.6e-05,-0.000108,2025-12-10 12:00:00+00:00,-0.0036
